あさがお,アサガオ
なす,ナス
ちかてつ,-
ぱいなっぷる,パイナップル
あさひ,-
らっぱ,ラッパ
らっきょう,-
たんす,タンス
ひこうき,-
とらっく,トラック
ばす,バス
ばいく,バイク
じてんしゃ,-
じどうしゃ,-
でんしゃ,-
すいか,スイカ
すべりだい,-
すなば,-
すずらん,スズラン
すなはま,-
うみ,-
たいよう,-
ゆき,-
ゆうびん,-
おかき,-
かき,カキ
おちゃ,-
ぎゅうにゅう,-
うた,-
うし,-
うどん,-
きゃべつ,キャベツ
にんじん,ニンジン
たまねぎ,タマネギ
じゃがいも,ジャガイモ
かれー,カレー
さんどいっち,サンドイッチ
しいたけ,-
たいこ,-
こーらす,コーラス
すすき,-
きつね,キツネ
ねこ,ネコ
いぬ,イヌ
さる,サル
きじ,キジ
おに,オニ
もも,モモ
りんご,リンゴ
ばなな,バナナ
なつみかん,-
みかん,ミカン
すいか,スイカ
ぶどう,ブドウ
りょこう,-
りす,リス
れんこん,レンコン
れいぞうこ,-
せんたくき,-
どあ,ドア
まど,-
とうふ,-
じゃんけん,ジャンケン
けんだま,-
とんかつ,トンカツ
てんとうむし,テントウムシ
いもむし,イモムシ
さつまいも,サツマイモ
みみず,ミミズ
ばった,バッタ
みのむし,ミノムシ
うま,ウマ
えき,エキ
とけい,トケイ
けいと,ケイト
すずむし,スズムシ
すずめ,スズメ
にわとり,ニワトリ
もり,モリ
むれ,ムレ
ねまき,ネマキ
わかめ,ワカメ
だいこん,ダイコン
はくさい,ハクサイ
いわし,イワシ
ししゃも,シシャモ
しゃもじ,シャモジ
ちゃわん,チャワン
ゆのみ,ユノミ
ぷりん,プリン
あめ,アメ
さく,サク
にじ,ニジ
しりとり,シリトリ
てんぷら,テンプラ
うなぎ,ウナギ
すし,スシ
ようかい,ヨウカイ
のり,ノリ
たぬき,タヌキ
ねずみ,ネズミ
らいおん,ライオン
おらんうーたん,オランウータン
らっぱ,ラッパ
のらねこ,ノラネコ
わんわん,ワンワン
